,日期,质量等级,AQI,PM2.5,PM10,SO2,CO,NO2,O3,年,月,季度,AQI等级,优,良,轻度污染,中度污染,重度污染,严重污染
0,2014/1/1,良,81.0,45.0,111.0,28.0,1.5,62.0,52.0,2014,1,1季度,良,0,1,0,0,0,0
1,2014/1/2,轻度污染,145.0,111.0,168.0,69.0,3.4,93.0,14.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
2,2014/1/3,良,74.0,47.0,98.0,29.0,1.3,52.0,56.0,2014,1,1季度,良,0,1,0,0,0,0
3,2014/1/4,轻度污染,149.0,114.0,147.0,40.0,2.8,75.0,14.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
4,2014/1/5,轻度污染,119.0,91.0,117.0,36.0,2.3,67.0,44.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
5,2014/1/6,中度污染,182.0,138.0,158.0,46.0,2.4,68.0,12.0,2014,1,1季度,中度污染,0,0,0,1,0,0
6,2014/1/7,轻度污染,145.0,111.0,125.0,34.0,2.0,60.0,43.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
7,2014/1/8,优,27.0,15.0,25.0,13.0,0.5,21.0,53.0,2014,1,1季度,优,1,0,0,0,0,0
8,2014/1/9,优,46.0,27.0,46.0,19.0,0.8,35.0,53.0,2014,1,1季度,优,1,0,0,0,0,0
9,2014/1/10,良,85.0,63.0,94.0,53.0,1.9,71.0,19.0,2014,1,1季度,良,0,1,0,0,0,0
10,2014/1/11,轻度污染,139.0,106.0,128.0,76.0,2.8,90.0,11.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
11,2014/1/12,优,47.0,27.0,47.0,27.0,0.7,39.0,59.0,2014,1,1季度,优,1,0,0,0,0,0
12,2014/1/13,轻度污染,109.0,82.0,107.0,67.0,2.3,78.0,20.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
13,2014/1/14,轻度污染,108.0,82.0,108.0,68.0,2.4,74.0,24.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
14,2014/1/15,轻度污染,125.0,95.0,117.0,66.0,2.7,84.0,18.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
15,2014/1/16,严重污染,402.0,353.0,384.0,109.0,4.6,123.0,20.0,2014,1,1季度,严重污染,0,0,0,0,0,1
16,2014/1/17,重度污染,215.0,165.0,194.0,67.0,2.4,76.0,30.0,2014,1,1季度,重度污染,0,0,0,0,1,0
17,2014/1/18,良,99.0,74.0,81.0,42.0,1.5,61.0,36.0,2014,1,1季度,良,0,1,0,0,0,0
18,2014/1/19,中度污染,151.0,115.0,186.0,71.0,2.5,72.0,41.0,2014,1,1季度,中度污染,0,0,0,1,0,0
19,2014/1/20,优,35.0,8.0,35.0,6.0,0.3,15.0,65.0,2014,1,1季度,优,1,0,0,0,0,0
20,2014/1/21,优,26.0,18.0,25.0,27.0,0.7,34.0,50.0,2014,1,1季度,优,1,0,0,0,0,0
21,2014/1/22,轻度污染,150.0,115.0,138.0,75.0,2.2,93.0,16.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
22,2014/1/23,重度污染,271.0,221.0,263.0,118.0,4.0,125.0,8.0,2014,1,1季度,重度污染,0,0,0,0,1,0
23,2014/1/24,中度污染,197.0,148.0,168.0,79.0,2.8,92.0,23.0,2014,1,1季度,中度污染,0,0,0,1,0,0
24,2014/1/25,优,42.0,24.0,42.0,24.0,1.0,42.0,61.0,2014,1,1季度,优,1,0,0,0,0,0
25,2014/1/26,良,72.0,53.0,81.0,45.0,1.0,47.0,44.0,2014,1,1季度,良,0,1,0,0,0,0
26,2014/1/27,轻度污染,118.0,89.0,120.0,57.0,1.8,60.0,56.0,2014,1,1季度,轻度污染,0,0,1,0,0,0
27,2014/1/28,良,62.0,40.0,75.0,28.0,0.9,38.0,56.0,2014,1,1季度,良,0,1,0,0,0,0
28,2014/1/29,中度污染,155.0,118.0,141.0,71.0,2.3,75.0,32.0,2014,1,1季度,中度污染,0,0,0,1,0,0
29,2014/1/30,良,96.0,72.0,97.0,39.0,1.2,46.0,68.0,2014,1,1季度,良,0,1,0,0,0,0
30,2014/1/31,中度污染,190.0,143.0,182.0,63.0,1.4,48.0,38.0,2014,1,1季度,中度污染,0,0,0,1,0,0
31,2014/2/1,中度污染,179.0,135.0,146.0,52.0,2.0,57.0,12.0,2014,2,1季度,中度污染,0,0,0,1,0,0
32,2014/2/2,良,89.0,66.0,97.0,19.0,1.2,31.0,73.0,2014,2,1季度,良,0,1,0,0,0,0
33,2014/2/3,优,37.0,5.0,32.0,5.0,0.3,8.0,73.0,2014,2,1季度,优,1,0,0,0,0,0
34,2014/2/4,优,40.0,27.0,40.0,19.0,0.6,21.0,68.0,2014,2,1季度,优,1,0,0,0,0,0
35,2014/2/5,轻度污染,117.0,88.0,102.0,53.0,1.6,49.0,42.0,2014,2,1季度,轻度污染,0,0,1,0,0,0
