年份,能源消费总量,煤炭,石油,天然气,一次电力及其他能源
2003,197083,70.2,20.1,2.3,7.4
2004,230281,70.2,19.9,2.3,7.6
2005,261369,72.4,17.8,2.4,7.4
2006,286467,72.4,17.5,2.7,7.4
2007,311442,72.5,17,3,7.5
2008,320611,71.5,16.7,3.4,8.4
2009,336126,71.6,16.4,3.5,8.5
2010,360648,69.2,17.4,4,9.4
2011,387043,70.2,16.8,4.6,8.4
2012,402138,68.5,17,4.8,9.7
2013,416913,67.4,17.1,5.3,10.2
2014,428334,65.8,17.3,5.6,11.3
2015,434113,63.8,18.4,5.8,12
2016,441492,62.2,18.7,6.1,13
2017,455827,60.6,18.9,6.9,13.6
2018,471925,59,18.9,7.6,14.5
2019,487488,57.7,19,8,15.3
2020,498314,56.9,18.8,8.4,15.9
2021,524000,56,18.5,8.9,16.6
